Cosmos Address, Token Allocation ,Cliff (months),Vesting (months)
cosmos1agzky2ak6xs5vve3c2wzjtqdq7fwadcgquxedh,"309,282",12,0
cosmos1000ya26q2cmh399q4c5aaacd9lmmdqp92z6l7q,"200,923",12,0
cosmos1v47vtj70zvu3sx87afermuy985lajwk0slsm5x,"243,885",12,0
cosmos1j6l7zpwnmkrdkat5f84d79aanr5em9cufs95j2,"86,000",12,0
cosmos13tfx47t5ste9g9kqr67etvz0r4qpuvlw9stljk,"107,897",12,0
cosmos1q04u86dvlpxm53wm8qyteep3d6qq5vjr0yqzz6,"64,800",12,0
cosmos147svk58r7xy774cdknkzj3qyn7tm9v9jqau7gs,"115,482",12,0
cosmos1mvscapes0acdkgc2tnvutzu7nxu5pl97l88evz,"98,297",12,0
cosmos1gq5fvkv479n26x63dkh8zscqahxu4tz4n9tzxa,"139,323",12,0
cosmos102q3m4rlkaltxwnfztfgcam672mnu40k6m57vr,"113,682",12,0
cosmos142xnwdgpmpzgsyckxwyd5c9ppmmvqa9kv20ezl,"98,297",12,0
cosmos1jns3wj8q88d7qy0zxh35jy2qmx55f0h9hss6zl,"113,682",12,0
cosmos1tn087wzd05xxq9lze5fm8lzjy7q6kwy8uxj6fk,"62,400",12,0
cosmos1sm5a00zlr5wkhr2259shqk9lk3w307jasfnlvv,"84,041",12,0
cosmos1fnd772gjha0kxldh5npcr0v7vcmc94cax3l8qr,"52,500",12,0
cosmos1ztqxj0v9hl8xr0kvqllk3lxtp669cd7j6z7z2a,"111,138",12,0
cosmos1qr97jr05ftqfnly7hegw4q03g3sctzwjr8ruls,"152,164",12,0
cosmos13qrd6wgmt2zww2gnwxc0de4tg9r49chlym4987,"67,041",12,0
cosmos1aszzevw6dd3h5uaadfqa9u8julv3rm8vd9sl96,"91,182",12,0
cosmos1nlsvx2cl4wksknfx9dk7svn0rushylzj86a006,"116,823",12,0
cosmos1qa5gkv8a4rzpncgkguv2szh5s83kh69la4sjhf,"65,541",12,0
cosmos18ckc6zy8asr66e962wt9aj5dkf25u2mwnujec2,"39,900",12,0
cosmos1ljv3plae2ze498x0fqrrkmzx29506nnc8hsrc0,"54,385",12,0
cosmos1uu28exgfjl9amfcfr7wvfgsqaufx336kumq7xe,"100,538",12,0
cosmos19a7q9zhch0rcrayj42zemhfyh0rm5lwyw8qjja,"39,000",12,0
cosmos1elen8x09ke4lhum8ca7z4g96sv34jfynh20ys3,"39,000",12,0
cosmos1tyr934fw7gmkwxusnfmy7gy8tjyy23w8dhx62l,"39,000",12,0
cosmos1few3jle0yjl32ap89j35d5y8xzt644zg9tlvdu,"100,538",12,0
cosmos1lch2ldq944paxnpux4xkr8e20unqfv90f2qpll,"39,000",12,0
cosmos15kywkhdljlkfvvzwkshnquz2x63nrxewm300a9,"100,538",12,0
cosmos1d3yhstpyvap4emlly7jguw24pyfk8k72njpjna,"39,000",12,0
cosmos16aww739z49e4v5e0k6fyvysguchfg2p8acf00l,"39,000",12,0
cosmos1lnyq46zxya3ytxeyjk8xsnpvguhd6tdexjut6v,"115,923",12,0
cosmos1qzulky8hacycvxrz2jcts28zg7nypce84xllhe,"90,282",12,0
cosmos17vahug9nr8vgp2pgp08qp380hlplncemjsmujs,"100,538",12,0
cosmos18jy3dvdwv3usn7m4urglldj4tdsf6ldnz60kth,"64,641",12,0
cosmos1xgqr7pn80g6w398wzdmye3lu6wsgk32suk9ucd,"35,000",12,0
cosmos1vr59ktf5yehvxz06qe889sl4eg0dtak8dc7cvf,"101,141",12,0
cosmos1dh7p3dvvjst60h62fymrqdcwx6tmatyytesjgt,"135,164",12,0
cosmos1fd3qxst8cwvvxh7gdr3gmrt524danjmgfjvyjr,"109,397",12,0
cosmos1jyxtpmuh9wvqn7qp57hf3r4tlhavh5k5m5a4ym,"42,500",12,0
cosmos1pjmngrwcsatsuyy8m3qrunaun67sr9x78qhlvr,"53,341",12,0
cosmos14ajq3hrm3au9r24j3uv9vcaf7r9leqzennlguk,"27,700",12,0
cosmos1jctre988vjn8wcyzchjdu5m60j43qw02wgy95r,"27,700",12,0
cosmos1z3xs7f634lc4ftyc2fjuxpt2zyqadmnw25h9wy,"40,685",12,0
cosmos1l4wzeqqyha43n999twyl93525ctv6v7mr5480h,"25,300",12,0
cosmos1rgvzc9799x763wemtnwdvg5r7xjnqvzx8wxtu0,"40,685",12,0
cosmos1l9ywzq9q3xz34htalw0qlgswakq57674lqvrs7,"61,197",12,0
cosmos1hdeemspqtxaw5pk3ddmtzju3xtk0euj55lhn6q,"59,297",12,0
cosmos17qf0hmy4rjhy2szy8at9aywakmadwn536l87cw,"23,400",12,0
cosmos1m3dw3c24ywcq7wag2j8tymkzdqxpsk9zg3yvaj,"22,900",12,0
cosmos1t3egsnypejx9xv5jcl4jq6hvrz5zwx63xlluxz,"35,885",12,0
cosmos15w89ade34csgyqm6gmlhjhp4740jrnnpnkx23q,"18,500",12,0
cosmos1zn2a0dv9rxwr4xwcllv84hnq2kmvr6nzvt7chk,"18,500",12,0
cosmos1fk8xy9xy4lkuqjdsj380capumn30wlsmz2pc9f,"217,285",12,0
cosmos1keufp3nvr8jh3pudgcpyeffnjqlfu3w3yefaj6,"31,485",12,0
cosmos1g7ddsx97qj4tfvm7u22xe5h6y3efdup6zn2kxk,"51,497",12,0
cosmos196y6x6yx777fr5t7cqs0t9fj7p96jf7c4rx792,"15,600",12,0
cosmos1m4cgumfaacm6vut4q0dh2dw0rrh45g2egl23eu,"15,600",12,0
cosmos1qcxx34qpkyph27v42huhk0nz20msud4rhu8mw2,"15,600",12,0
cosmos1spurd4x520d3clewaqsxm7r5ycdq8vau2yzhcg,"30,985",12,0
cosmos13elcqgu20pwrhexsz783jsvrdlf045edurvhgm,"77,138",12,0
cosmos13g6lzq6mfa8l86lgnsnxacltsssel6h0l7husx,"92,523",12,0
cosmos1u7susvw0uq25pey0l39zmt8ndcware4jcn9qce,"15,600",12,0
cosmos14jkqgv2qhmjafvg5pynt49uq2ejjelmkqgtnhf,"77,138",12,0
cosmos1wj6p0rgdpy8kkj3xa7e8t0g9tn9nyw4hde56hj,"51,497",12,0
cosmos109usmxjdxc4u9c2qrxsvr699ymh840rj057jff,"25,856",12,0
cosmos1wu4kawzdqnklqy2m43glsztrqsuha576clpysn,"15,600",12,0
cosmos13va8q0pmax94047jwytp7xaftpp4f2h4pmza6w,"66,882",12,0
cosmos1pn3sx7778dwvdtrp8djstjwpsjq6cr7dv500hz,"118,164",12,0
cosmos1rpcgsjt00drmjshhdg2amdufmypppqlm05x6yg,"15,600",12,0
cosmos1l0v6vlz4ty5naur3z5qn4gzl52zu7uqqj5hvd6,"15,600",12,0
cosmos1mgpjyev8c3p5hpxhkuyk046nt6thzev3tcv5tj,"15,600",12,0
cosmos1en69twaxmv7xupy8lq7y539dpecx7yz8tuz5hv,"15,600",12,0
cosmos1ewqyyqakfskwtvw8d7prkda3n0cvjn6k3qk77r,"15,600",12,0
cosmos1dq7lnwymzze3cqptmrdtey5wqwpjss3q8daa9p,"15,600",12,0
cosmos1uwvd9r0zldcw0qnja80z4z6jqjexczn9cp8zyx,"15,600",12,0
cosmos1nhxqqa7rlmuw7yzpf0v4zzusk39fzuk29ae37y,"77,138",12,0
cosmos1e96vcg7elw3cc7g2mpwp0pvc5tx4a3rl80dkl7,"15,600",12,0
cosmos1gm6cen6cavtxrdgws5egvfq3pgsym89qsrypw4,"15,600",12,0
cosmos1urh77zy90kwtu0rnzph8urkxeud7d0d5nven2t,"15,600",12,0
cosmos1y6amvelqwwgmxcjgwagkayamdz0zn6fchjj4tx,"77,138",12,0
cosmos1lu54nkcw0fjzlz4s65kv8tqkd6awm0q97vfawc,"15,600",12,0
cosmos1dk4pc330j6u5g86wg706g5vasd82agzfpu6h6e,"15,600",12,0
cosmos1ftyyc8ljeyftjwlpz78tcuwwfvq653azklstfd,"30,985",12,0
cosmos1twsp4qtg29hke50c44r8xdpkfqnazke34yeynl,"30,984",12,0
cosmos1dtvpuyqcxxndwj0a9u63j277j8hee0y2h4sezq,"15,600",12,0
cosmos10xsy6zch7a02ndefzlhqngvedakcpc72n7htay,"15,600",12,0
cosmos17vl3w6k5fzf909axd7d9zulgrra75k8e22av3p,"15,600",12,0
cosmos1lucch767n6ykc6n087zxgpxph8xhkrj2204aa9,"15,600",12,0
cosmos1hz9xhyuyyfnln0h5cdqjvzx5atyxlzdxwq6uej,"15,600",12,0
cosmos1zke0e039mnte4arq7q933a38eyykjtjxvr7j4u,"15,600",12,0
cosmos1gegcmyr52a0ka7xsn2ya7anzy0g46hr4kv7n8e,"15,600",12,0
cosmos1htl3pu05qd802jte6mu5v8evqycxluvgr293vy,"15,600",12,0
cosmos1pls32u54m2ulfswnf9q6hun7nzvjex8u3m3dh9,"15,600",12,0
cosmos1l6jtgcqre929wkr5gs5mg2sutl7n4n5fz3z6tn,"15,599",12,0
cosmos1dkjcas3j43u3v6l94jhhhnjxhlnwxt3macm9df,"41,241",12,0
cosmos17er5mmchtphln73mq9jze4rw08ny97zl2rm9cv,"15,600",12,0
cosmos1lxtykp83gr4ejt9lkegrrrac7xxpfr8a522n8q,"51,497",12,0
cosmos1rn78sf4vc0psmnrss02sx22n3x3sumc8hklt5h,"66,882",12,0
cosmos16x79v3h2qrtcj0376am9zlt05c85njzwzmrmf5,"15,600",12,0
cosmos1c5n47shs5rt3fzkr02t30e9n774t4y9xut8t8j,"15,599",12,0
cosmos1v48gpgr4fjfru3qeftk95ys28k93ex2nvkmd77,"15,600",12,0
cosmos15wkvm8y8lrdeh2lcngxrgje2t59mjthglltxrf,"15,600",12,0
cosmos1d98npdedygtmlx4sx7tete6vjl6aqz4gdz3s4l,"15,600",12,0
cosmos1kd4hw9xznk3lahksacxhu88h6ff2mxxuz5d4rv,"15,600",12,0
cosmos1wgrp33hns5y7xe6nu8x3q2mgwtsr77kyy8k29j,"15,600",12,0
cosmos1vn5ysf7u9dssn2pm6h8agmqerxc5mq79nrr4xu,"64,882",12,0
cosmos1za82ktg4knhvjf8l5w2x7vzkzcj7u26fayqnvp,"13,600",12,0
cosmos1gvt9l5tshr0fp8ksl2tuem584z69eyvthfa5zz,"44,697",12,0
cosmos1kj8usuyq0q37qkrm643azn764a06e7vel5xagj,"3,900",12,0
cosmos1kg99k8wd67r0ffxwavgnxup7yk46rvttrvqy7d,"3,900",12,0
cosmos1cx943pfupwwsxvhmd55e2s46hcxmj38cxd0udk,"3,900",12,0
cosmos13fql27q7ekc072j9jcnwrfnhflgqke0rr2679q,"3,900",12,0
cosmos149p0dv6650lezc3lj5m8zdp7za6pr6amn8wn9h,"29,541",12,0
cosmos1ff58vq6g6fr8p8vnusc3jwnltr035ckp7kn08z,"3,900",12,0
cosmos1w4yuk2kuz9n5wnsg0uqn8rxaysxpaha90w5es2,"3,900",12,0
cosmos1uwntnsu3j0mp7n2ey8k3hz8uaj2dpfrfytfk6r,"19,285",12,0
cosmos1qfv7khxqlpgtx897c0d6mrf26s9ma3kc5ufpnv,"55,182",12,0
cosmos1dye3tdkc2safdw44ppewf6yle8e5x2ekd040w4,"3,900",12,0
cosmos1ytcln4uwqwrlverl4gmzpfzr2z8cn0gkcvz6xe,"3,900",12,0
cosmos1466v4vuvm6uqkyc9nzqh270qvlstzswj8lstvt,"3,900",12,0
cosmos1zu47e76gf46uqgv9mcvkacul9jl9l2alj8wsmp,"19,285",12,0
cosmos1tx9qt6wttdt5atpysraq8k5tavcq0a3usscr0v,"3,900",12,0
cosmos1x35u8z8yz9kuc97xpwvuvp364nta3plhez5pqv,"3,900",12,0
cosmos173d3t47xyq2xdwek4qmad6r5kny9ch23v3x9a0,"55,182",12,0
cosmos19za8xxyjqykx5hu34znsq0dj7qcdt3y634pcpd,"56,485",12,0
cosmos1vjn3559ncztu87qj8v4ryasgny7vjfx7hrjhsf,"19,285",12,0
cosmos1upyjzuc65tr3gumy65x3py064gyxa43lxrzerm,"3,900",12,0
cosmos13rtuxsf0tepld8m9fhaxuq5j7r0uuvy03glvnj,"3,900",12,0
cosmos1v8cj32d4c0vevdncw3nyu2rrnj0mqe4ru8ng7m,"3,900",12,0
cosmos1gtthy2382t7vryfz72esczzs0tj99zy5y6auk4,"3,900",12,0
cosmos1entvnckqk5ulcxwv604txj8yp4w6mmt8aksg7y,"3,900",12,0
cosmos1tpnzvvksnqqc0kanjq36575yz9pdexs6fanxrt,"3,900",12,0
cosmos15w9r2r22nd9m75gmf9jedn9t3f04nj5c7pv6kt,"3,900",12,0
cosmos1ga832qkqndzv6a7495tra2g9g6c3wvdwcpp83h,"3,900",12,0
cosmos1g45qhkufhqew45cxnaafwsj6swezhy7wzqpd36,"3,900",12,0
cosmos1mcly760qevvh8nwtj53xy9a26rmxdr5fyu7pnj,"3,900",12,0
cosmos10wq46f8du234aqtlucv7h9jtrfuxmcntvsxwe6,"3,900",12,0
cosmos1qe8uuf5x69c526h4nzxwv4ltftr73v7qq4yecv,"14,156",12,0
cosmos1ed3h0s6mud5uk28v48xt9qnfmv25rmw402sumt,"3,900",12,0
cosmos1pp5y2639h97qjpwucvfxnxrgcm4t7sujs4uhdu,"65,438",12,0
cosmos1lewxvf5qcyfqtl2m49k285qtdsa3vgstyq4lxl,"55,182",12,0
cosmos14ee8gjsnrh0zyhsx9fw43x07nsdrf87qgfhdtd,"3,900",12,0
cosmos1ux8apnt5unupg7r3f2cdxh8smgpun447hqwng5,"29,541",12,0
cosmos12zqxlgd288cgkxc5akhxpt4yz6tqmcgakc2aly,"3,900",12,0
cosmos1h4qdnaa8ec95jtzs00uzzmpkmn2vhmy8gzwy62,"3,900",12,0
cosmos16x0dgj63ktv27gde8d5cuaeg4a8zng9jrsq6qk,"3,900",12,0
cosmos10wxn2lv29yqnw2uf4jf439kwy5ef00qdssu4zx,"3,900",12,0
cosmos18u4km34uvxr2gdr373qzw9fnhcsc6nt2lcp5hy,"3,900",12,0
cosmos18gyc4fxulnzckwdqfjkau2ylln8h9wunhaqdyf,"3,900",12,0
cosmos1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvxvn7rs,"19,285",12,0
cosmos1wwl9f8wcc0am9wruvmx4hjzdv7ewfcexadc4ee,"80,823",12,0
cosmos1e8238v24qccht9mqc2w0r4luq462yxttmdx2uw,"3,900",12,0
cosmos1hjct6q7npsspsg3dgvzk3sdf89spmlpfg8wwf7,"14,156",12,0
cosmos1repa02nwperexxj43yqlxayc6lfmdcknu5avw5,"3,900",12,0
cosmos1dwu2w82hlr40ryznnvusxv5vtgcjj94k6747z7,"3,900",12,0
cosmos1cyl6ps7tcu3t8pe46jn0lymyncctw77acpfnzt,"3,900",12,0
cosmos132khccdcgyrf4qrfvfqte30jvcfhspx44we4ss,"3,900",12,0
cosmos1mmwqf06sczhxy3jp3y34l3mr6rzdrp0tgshhrq,"3,900",12,0
cosmos14lppusr2mr0v5ktu9xet89wvewuaxs9n4vqh6q,"3,900",12,0
cosmos1x6q6ztmxq3gyanfph0cs9k3k4asplwapd0e3h8,"3,900",12,0
cosmos14yth8x4a77q5rytxhv67e43p2hdzyguuu3x09l,"80,823",12,0
cosmos1slmchqz9tpausapxzw6x7yrwf8vyhu4hz80anh,"3,900",12,0
cosmos19ct4xx2v89uaafdyagqzf6se58h70lfdw5hzsc,"3,900",12,0
cosmos1m5zm42ufnzkr3fxe5m4j8p8na6ydavpemmy48p,"3,900",12,0
cosmos1ku8eh88ga82e8w7sv7m95cxlefzv75n5g87eke,"3,900",12,0
cosmos16dp7vujnmlgc63nvehs68lqq8cpszp9vdue6lf,"3,900",12,0
cosmos1vfkatxf6mn2z2dg0x99s6nzzy3r4gqpqymw2as,"3,900",12,0
cosmos14vmuhgm04ffvzts9jxm2wy5d538g96ruhm2cp5,"29,541",12,0
cosmos16qzdx57h772g0xjmqcu0ytms557uypud4aj27k,"3,900",12,0
cosmos1pzn9x2h34xhxcd4ev68hruy7rwn2kec50z2300,"256,410",12,0
cosmos1afdwxpgnqwz002ynkqtu6vxnyqpqymrr83ad5m,"76,923",12,0
cosmos1eladjjl43hy880rvnqcsfs29emzjv60fcejewl,"61,538",12,0
cosmos1spynk5y2wz96dq4z73snpgqhr4l49n4zsgqlzd,"61,538",12,0
cosmos1srd69vz6eaypm4wyhfuegfwx27xa739mr5fnsj,"61,538",12,0
cosmos1mkv4myppz2w0d3nr2dh9fv5kcwaaqnzf7pp243,"51,282",12,0
cosmos1sex685w68vvv563nsyv8nezawq4hhg7qqy78hs,"51,282",12,0
cosmos1tm5lt2y6sw62dptctecq9g9wjv7hwzkfnzfk8k,"35,897",12,0
cosmos1l9c9a7uxvu5vc99larjy88w9ej3kgd62vt7g00,"74,897",12,0
cosmos1ez9w8ay9j2jlsul9v43g9hc5wzrcvmsurc26cz,"25,641",12,0
cosmos1y0us8xvsvfvqkk9c6nt5cfyu5au5tww28lcvjn,"15,385",12,0
cosmos18zercj9rntvswhga3v69qh2yrsz75uh0zyq6qy,"15,385",12,0
cosmos10nsytn9zmtfnhk37hqfe2h9v599ld3h5szle42,"15,385",12,0
cosmos1s3366h2rpwhvlt0w0x49ssyh27778dyzqnculc,"15,599",12,0
cosmos1s669945muldr6a49reuguxja4j67cgsxzc6n4e,"15,385",12,0
cosmos17jrkht3ull30c2at5mp8yvm2w6rjh4j284rqss,"15,385",12,0
cosmos1zttnm2cl60m5ffsrfeqtzkmtvepl4hwncrad3r,"15,385",12,0
cosmos15plv0ynkmwpwyhtx8av534crqcrh892qfcyl5f,"10,256",12,0
cosmos1py60fpud4w468zn7mthfa25xnzuawjumvull4j,"10,256",12,0
cosmos1v8rupzqsvgq68a3sumct2ue68sca7prjpcfejm,"47,456",12,0
cosmos1dtff4m5252xfdu0mg2fj5che33m7f2fdn6a5l3,"10,256",12,0
cosmos1h27guwpast9p73xxtpfyqkfgkpvf6yvwfcjsph,"10,256",12,0
cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,"10,256",12,0
cosmos1v794djswf5acm5672n6dhs8lptvjn5g3u2afsq,"10,256",12,0
cosmos1gssq4v6mg69tprx66qc25n2gdvv05tnxnqmq0n,"10,256",12,0
cosmos1phw55ggjkpk9qf2ljx8kj8zd37ny0s9uc8unu5,"3,900",12,0
cosmos1mxpyg8u68k6a8wdu3hs5whcpw9q285pcgfwqcr,"3,900",12,0
cosmos1d8tath3srld2fupw96rxpp22telvrxaw59hxlf,"57,200",12,0
cosmos130z0kfjk7k688hs65jyw9nzphxmgjm8y6zdqkg,"21,500",12,0
cosmos1u8tl88wpu8alatnmkhy84tpe55h6xycsv4j8kt,"5,000",12,0
cosmos16kuty7976aagljezwpxajjd2aeytk7eneyxn97,"42,900",12,0
cosmos1dn8exzp38qczuln96kne0yq49gejgvxz4cghvx,"7,200",12,0
cosmos1tp9cpm5g522tgcuxg0wn7n4ld0ecpqte9x6k84,"14,300",12,0
umee1juxll0wpn6396xt8z24gv4c4cx23w9329pgx50,"66,882",12,0
umee148lf9ndu40fmy44ku74v65lqp8mwqej9nxgl9l,100,0,0
umee1gac6asqc7fv9ec6kyuuf0p355fuy9rn4r7vpu7,100,0,0
umee1wqr08242ysrepqgzm6q0mn7ndcnjlsf6vdxd0v,"11,250,000",6,30
umee1x3g09trxpe9yl965y9x0c2gz54y77wvcuva23y,"9,375,000",6,30
umee1492fpujhn57e8hmj0qkzvhl2szpr8ma66ty8ur,"1,288,625,000",6,30
cosmos1welq9ksplfet94wv779xt5zhsah89ztgdkmqpc,"80,355,000",6,30
cosmos13actdsqg9lk7hn4fnekvz9cutvyas060zl92q5,"50,000,000",6,30
cosmos13lcdnj8dgmaug4k5azydxvrclvmvqxkqpv6t8v,"2,000,000",6,30
cosmos1xt6qvfs02026d2fdwyeex2rny366zkevlgj4x3,"200,000",6,30
cosmos15nrhfcmkywhs29gs72f3tskhuq09cu9dtgq6c2,"2,500,000",6,30
cosmos15srde3entztcsw9c4eg9dp2hk07vwx9srd2p5y,"5,000,000",6,30
cosmos1afk9k6ulxp2phrlgk9aje6necvyqpr3z2jl5ah,"3,750,000",6,30
cosmos10swwh0ys0pq8lqpur92e4kxe30e9vc83gm5a5j,"5,000,000",6,30
cosmos1z4fyf82un7c8h2ye7cnskanzf7rp0fkmdxzas9,"50,000,000",6,30
cosmos1zh7fwxxmh8p2qstzxpdt3l5jvcz77y6ct88uku,"25,000,000",6,30
cosmos1r73f7rjms44ed7u6neqw5thwjhuu5s43mzp7s8,"25,000,000",6,30
cosmos10n6rsv9vwxs46vtt8sjx9sc8sefr4mgvqzhe0r,"25,000,000",6,30
cosmos1hqkepnakshax7mv5mu6qvavw5yvmawz4dnv8te,"2,250,000",6,30
cosmos1urlqkccvv23pqmx6ffjswgx8w59z209el25y5n,"3,125,000",6,30
cosmos1apwn7s9qv7v90uqj8qnqd7ht0xs3qe7nsrrwks,"7,000,000",6,30
cosmos17cp6yyzex49xn38l4dllharjj0r9vg8yhcnlku,"570,000",6,30
cosmos1x3rhderemr703f4lxktk2da99vl5crs28ur3xl,"4,000,000",6,30
cosmos1u5fnrzss6ffcde4jsqqcr4qyv783e4lgaq0q4y,"20,000,000",6,18
cosmos1nrfas2v4yhkcana6qpck66n2jy4k08yvxjn3x4,"20,000,000",6,18
cosmos1ts49hkunrjgapa0vufmgzpxxqxpvkm9t99k2ar,"60,000,000",6,18
cosmos1ctkj6cfvrynrxuwz3kq6ayes4xt3y6c65tgll6,"40,000,000",6,18
cosmos1hvpzhd8jx7lgyfla9t4yz4exqmxmmcrayj8wf5,"20,000,000",6,18
cosmos1yuz4fct5cc3td6fp7he055mut0d4ukcsyym3q6,"20,000,000",6,18
cosmos1yvw597r5wzpyturwlg8jg5lg40rxc89ffsdjga,"100,000,000",6,18
cosmos1lg80fgyel47tlt8hnhxx2akh4dr2e0jcngswqn,"40,000,000",6,18
cosmos1p2x2sn7zjdltwvvcu2xj4p4jmrmzl5tkg6pks7,"15,000,000",6,18
cosmos1gcz2tjuel4w6q3v4ec92eu4nvey6fkgnn84t8l,"50,000,000",6,18
cosmos1yx0hs0z9vl7fxcj3t7wm6qj2wwa6wy9u9ft8wy,"20,000,000",6,18
cosmos17nqpzq6a29lqx42an3vt5ccmds7fwfgvd6y809,"20,000,000",6,18
umee1hq7e8qm24ep6644mj682caeq96vu9xckyqcvhw,"220,000,000",6,18
umee1puhljyv555kc3vsp9tethzzas02m2a6nd8z7gc,"150,000,000",6,18
umee1453aclvrj7zavf9a8amy6n54z42af3e4fv4qh9,"100,000,000",6,18
umee1nhndltsp2vm234kpuczryuf9c7skqqj2n6nw47,"140,823,500",6,18
umee126aa62y7rz7hvhw7pg79rjc3mgwggmdshknecy,"150,000,000",6,18
umee1hls4u0st506fn45a82t5rd883gnltk7ensflt8,"114,176,500",6,18
cosmos197csfyzjz9hfu99we3sdz9wp0n6ss3fk74t9tq,500,0,0
cosmos1mm5847ngfknu08gq26sjcsejsnq9ppmd4wm7hz,250,0,0
cosmos1n6ywg8y4gs2gjpqzhz8fmt5zn7h4lwjwc2rlxk,250,0,0
cosmos14se7j5ek3y7ervv7setzml2442w3rzqs77rfvv,250,0,0
cosmos1q2vqe779kdgeqn8zfpytu7lmmrx2rs6hzy97sx,250,0,0
cosmos109rgvle6mx3m6s5p66m5rza0nda6vxt8x7e3ha,250,0,0
cosmos1s8kg5ryg9k8n8y5eht7khk9j58062ktnwflnfc,100,0,0
cosmos18mpfxkkus4ux202lggnj8v6ar4zfg87tfr2dyx,100,0,0
cosmos1vfvpvzs6fv3qtznmjtczuda3jd0lxt9vd68k0j,100,0,0
cosmos17x2zmawke7hhv52vc3087rmmrdjrdd4dzqstsn,100,0,0
cosmos14lrk7xqae4kv7z6spq5xpnsya3ns0n45e970rx,100,0,0
cosmos1av3q9repgs96jw7c9z8hx26x68m2sgnzg3l4sv,100,0,0
cosmos1czmytrwyp379tcy8h94gy5ra0hagawq3k6au02,100,0,0
cosmos1lwdpsnwljz3ns8ztjck3zlkwa58ewkv6ydu4ps,100,0,0
cosmos14dlruz9pk863uj0xlnr2wf5ddlauvlaw3w4l4a,100,0,0
cosmos189u8j5scfqzma6glcqv30va3lmhwj8v9v0td0e,100,0,0
cosmos1q97jpc7ejynvu4huy0e8ctw97uch3xyg0w3u5k,100,0,0
cosmos158cswazpadvjgh2r30z0x4w65pssr77xn6vj2y,100,0,0
cosmos1dlxmkplkvp34lkxnegtcrawr5g7dny6462r6ze,100,0,0
cosmos1jf7xjg6exczlekw4fhjex25aduhtfqnqt00ra4,100,0,0
cosmos144xuhpaawwkqr5qtf9pvw5hj3lqrtz8xehwv20,100,0,0
cosmos1s2lu74pgdpxu36lnmwp5q5evcx03wd92e3n4nx,100,0,0
cosmos1vvyapyvlcew72z6ad390j2qe5666h838vhx05g,500,0,0
cosmos1nedfq6rg094pel6lsxjakyghy7ndp3nyqmnqec,500,0,0
cosmos1eafu5mf2kusvfesd4cw250rrem4jnflufr3yvk,500,0,0
cosmos1v4fyfe40t8jknu38runemnuczgrv9aa5vjer88,500,0,0
cosmos1ygq7s6ndq2eusqztj3hcqyx7yvn7g3xsekzpg9,500,0,0
cosmos1lh93rzy85wpzty72l5fh9l4w4aaqtc0ggwcmn7,250,0,0
cosmos1udtu5ysm6zxhnwx3ky6x60vredcvyxt8plynah,250,0,0
cosmos1lanm9ae9qsmeey6uyucgg2vmqkjzv4qadpqkmh,250,0,0
cosmos1dr6pkg9473xqqhpc058vqtmaeydfymrgy8as86,250,0,0
cosmos13mf7zsa73xn3n09tcmu7ey7su2s699wjs9yk92,250,0,0
cosmos1gu2c8al00xr5rm33pxyredprmga3nmup2ua9ra,250,0,0
cosmos1mt8mdyxu7gtam2zg5r3565fc55mej7f7wyy7lw,250,0,0
cosmos1p9z52xtkdzsp5hq45nmvrv55vknqkery24ynlh,250,0,0
cosmos1gwtasmh550eyufkq59j94e8rrgdsa7y20c045t,250,0,0
cosmos1a4zf0k34z5ugx9k50za9ds9w6jmyuj8cqrz04n,250,0,0
cosmos1klnylln8khef4jq5vgak3tm7m8q2nlyuagxf2a,250,0,0
cosmos182a7ma8e43625yv0j35guvv2ek8y4f534ygzaf,250,0,0
cosmos10e6ppcn9480uzvvm5e6ecx8z4pup3azwe5dveu,250,0,0
cosmos1algk85ahrn29fluefkxf5dg4sv9ct6cah72vfw,500,0,0
cosmos1duljhz70rns9n9qujktw5h2d56m69sjsvfjrf0,500,0,0
cosmos1qhkclfsm5s7kzfg8d5djg6sm67x0nqxfx2vmes,200,0,0
cosmos1mg5xxjthjtj6hkhlsk7tv3w3k5d2kdajy3909e,200,0,0
cosmos1zlxdlfu9j98nd5hnxpnf5h7ju7k3kfw65lf8em,"20,000",0,0
cosmos18qq5mpgkfr0eu4lfecamlhd79885gkqh2ay4xt,"20,000",0,0
cosmos1ayp9ga949jfeu9d73gtge0mz29978eyrwqvhjp,"20,000",0,0
cosmos1x2q37tl286mryd0pzzwy8x79wq3tzfutmfq5f8,"20,000",0,0
cosmos1vx8r6x3lh6vh8wd4z2gt42sm359087e5tl6nl3,"20,000",0,0
cosmos1mruhd02la6ajep66wvy9mq2wgsdn24am0vjp53,"200,000",0,0
cosmos1h3enr7tc7yxwkn0fmlr4lxsx4g3ak3wj64yu6n,"20,000",0,0
cosmos10h3xkqs3za09k4xu7rcg43zmuqkzwrwtrnlne8,"748,944,301",0,0
cosmos1u9hhq89u6ppp4gut8ah9dmu5djlwm9t93g7qtx,"1,000,000,000",12,84
umee1pn8x9rv4823cgwmyh07z230mllg2prdxku97c7,"1,602,097,216",0,72
umee17l9hq0fmzxcu9xs4wk3qtsegljn36r9u8xxj9l,"1,200,000,000",0,72
